,Info,Cost Value,University
0,Books and supplies,675,onestop.fiu.edu
1,Transport costs,"1,147",onestop.fiu.edu
2,Accommodation costs,"3,744",onestop.fiu.edu
3,Personal Expenses,"1,356",onestop.fiu.edu
4,Accommodation costs,"6,148",www.francis.edu
5,Food costs,1008,www.francis.edu
6,Health Insurance,"1,923",www.francis.edu
7,Accommodation costs,"20,000",www.jacobs-university.de
8,Health Insurance,"15,000",www.hud.ac.uk
9,Accommodation costs,70.00,www.hud.ac.uk
10,Food costs,30.00,www.hud.ac.uk
11,Transport costs,5.00,www.hud.ac.uk
12,Accommodation costs,500,www.centennialcollege.ca
13,Food costs,150,www.centennialcollege.ca
14,Transport costs,116.75,www.centennialcollege.ca
15,Personal Expenses,40,www.centennialcollege.ca
